# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1755487232.336576462, 0.000000002, 0.000000005, 0.000000011, 0.000000058, 0.000000074, 0.000000081, 0.000000002, 0.000000002, 0.000000005, 0.000000044, 0.000000055, 0.000000060, 1, 1, 0, 0, 20.000000000
1755487232.356400967, 0.000000014, 0.000000039, 0.000000040, 0.000000053, 0.000000064, 0.000000070, 0.000000003, 0.000000006, 0.000000008, 0.000000036, 0.000000040, 0.000000054, 0, 0, 1, 1, 26.000000000
1755487232.436978579, 0.000000002, 0.000000006, 0.000000015, 0.000000062, 0.000000078, 0.000000091, 0.000000002, 0.000000002, 0.000000005, 0.000000040, 0.000000061, 0.000000069, 1, 1, 0, 0, 22.000000000
1755487232.456936121, 0.000000014, 0.000000048, 0.000000053, 0.000000049, 0.000000068, 0.000000082, 0.000000003, 0.000000007, 0.000000009, 0.000000037, 0.000000048, 0.000000060, 0, 0, 1, 1, 23.000000000
1755487232.536941767, 0.000000002, 0.000000006, 0.000000019, 0.000000066, 0.000000080, 0.000000101, 0.000000002, 0.000000003, 0.000000005, 0.000000059, 0.000000064, 0.000000086, 1, 1, 0, 0, 14.000000000
1755487232.556629896, 0.000000013, 0.000000037, 0.000000040, 0.000000066, 0.000000076, 0.000000100, 0.000000003, 0.000000005, 0.000000007, 0.000000034, 0.000000046, 0.000000061, 0, 0, 1, 1, 26.000000000
1755487232.637280464, 0.000000002, 0.000000006, 0.000000016, 0.000000064, 0.000000071, 0.000000101, 0.000000002, 0.000000003, 0.000000005, 0.000000060, 0.000000065, 0.000000082, 1, 1, 0, 0, 10.000000000
1755487232.656409740, 0.000000013, 0.000000045, 0.000000049, 0.000000067, 0.000000077, 0.000000095, 0.000000003, 0.000000008, 0.000000009, 0.000000019, 0.000000030, 0.000000065, 0, 0, 1, 1, 26.000000000
1755487232.737890482, 0.000000002, 0.000000005, 0.000000012, 0.000000046, 0.000000050, 0.000000104, 0.000000002, 0.000000005, 0.000000006, 0.000000044, 0.000000049, 0.000000096, 1, 1, 0, 0, 11.000000000
1755487232.757024288, 0.000000011, 0.000000040, 0.000000042, 0.000000054, 0.000000056, 0.000000109, 0.000000003, 0.000000007, 0.000000009, 0.000000017, 0.000000027, 0.000000074, 0, 0, 1, 1, 23.000000000
1755487232.837532997, 0.000000002, 0.000000005, 0.000000011, 0.000000044, 0.000000048, 0.000000112, 0.000000002, 0.000000005, 0.000000005, 0.000000039, 0.000000046, 0.000000084, 1, 1, 0, 0, 13.000000000
1755487232.857517481, 0.000000011, 0.000000050, 0.000000054, 0.000000049, 0.000000054, 0.000000096, 0.000000005, 0.000000007, 0.000000010, 0.000000026, 0.000000030, 0.000000069, 0, 0, 1, 1, 22.000000000
1755487232.937284470, 0.000000003, 0.000000005, 0.000000011, 0.000000052, 0.000000061, 0.000000104, 0.000000002, 0.000000003, 0.000000004, 0.000000036, 0.000000048, 0.000000072, 1, 1, 0, 0, 16.000000000
1755487232.956321239, 0.000000011, 0.000000035, 0.000000037, 0.000000044, 0.000000055, 0.000000082, 0.000000002, 0.000000006, 0.000000009, 0.000000023, 0.000000030, 0.000000050, 0, 0, 1, 1, 25.000000000
1755487233.037731409, 0.000000002, 0.000000005, 0.000000010, 0.000000050, 0.000000060, 0.000000083, 0.000000001, 0.000000002, 0.000000003, 0.000000022, 0.000000038, 0.000000052, 1, 1, 0, 0, 20.000000000
1755487233.056906223, 0.000000011, 0.000000048, 0.000000051, 0.000000028, 0.000000045, 0.000000062, 0.000000003, 0.000000006, 0.000000010, 0.000000023, 0.000000032, 0.000000043, 0, 0, 1, 1, 25.000000000
1755487233.137217760, 0.000000003, 0.000000005, 0.000000010, 0.000000051, 0.000000061, 0.000000075, 0.000000002, 0.000000003, 0.000000003, 0.000000025, 0.000000037, 0.000000055, 1, 1, 0, 0, 20.000000000
1755487233.156665802, 0.000000010, 0.000000037, 0.000000038, 0.000000032, 0.000000044, 0.000000066, 0.000000005, 0.000000007, 0.000000011, 0.000000028, 0.000000036, 0.000000047, 0, 0, 1, 1, 22.000000000
1755487233.235789061, 0.000000002, 0.000000005, 0.000000015, 0.000000056, 0.000000067, 0.000000087, 0.000000002, 0.000000002, 0.000000003, 0.000000024, 0.000000036, 0.000000051, 1, 1, 0, 0, 28.000000000
1755487233.255969763, 0.000000012, 0.000000042, 0.000000048, 0.000000030, 0.000000042, 0.000000061, 0.000000005, 0.000000008, 0.000000012, 0.000000027, 0.000000036, 0.000000045, 0, 0, 1, 1, 31.000000000
1755487233.338192463, 0.000000003, 0.000000006, 0.000000020, 0.000000057, 0.000000065, 0.000000087, 0.000000000, 0.000000002, 0.000000004, 0.000000034, 0.000000045, 0.000000056, 1, 1, 0, 0, 25.000000000
1755487233.358381510, 0.000000009, 0.000000034, 0.000000040, 0.000000042, 0.000000052, 0.000000066, 0.000000004, 0.000000007, 0.000000010, 0.000000032, 0.000000042, 0.000000046, 0, 0, 1, 1, 33.000000000
1755487233.437273741, 0.000000003, 0.000000006, 0.000000022, 0.000000060, 0.000000074, 0.000000087, 0.000000000, 0.000000003, 0.000000004, 0.000000049, 0.000000053, 0.000000065, 1, 1, 0, 0, 29.000000000
1755487233.456748962, 0.000000011, 0.000000037, 0.000000047, 0.000000056, 0.000000063, 0.000000077, 0.000000005, 0.000000009, 0.000000015, 0.000000046, 0.000000053, 0.000000057, 0, 0, 1, 1, 27.000000000
1755487233.539589882, 0.000000003, 0.000000006, 0.000000019, 0.000000066, 0.000000100, 0.000000107, 0.000000002, 0.000000003, 0.000000006, 0.000000042, 0.000000060, 0.000000086, 1, 1, 0, 0, 24.000000000
1755487233.557840109, 0.000000009, 0.000000038, 0.000000039, 0.000000048, 0.000000070, 0.000000099, 0.000000005, 0.000000008, 0.000000014, 0.000000044, 0.000000054, 0.000000072, 0, 0, 1, 1, 27.000000000
1755487233.637962818, 0.000000003, 0.000000005, 0.000000013, 0.000000063, 0.000000092, 0.000000129, 0.000000000, 0.000000002, 0.000000005, 0.000000055, 0.000000063, 0.000000098, 1, 1, 0, 0, 26.000000000
1755487233.656960964, 0.000000011, 0.000000046, 0.000000050, 0.000000062, 0.000000073, 0.000000113, 0.000000010, 0.000000010, 0.000000021, 0.000000056, 0.000000060, 0.000000093, 0, 0, 1, 1, 26.000000000
1755487233.736608982, 0.000000003, 0.000000005, 0.000000012, 0.000000070, 0.000000099, 0.000000153, 0.000000003, 0.000000004, 0.000000008, 0.000000050, 0.000000087, 0.000000116, 1, 1, 0, 0, 26.000000000
1755487233.755843401, 0.000000011, 0.000000037, 0.000000041, 0.000000056, 0.000000099, 0.000000132, 0.000000009, 0.000000010, 0.000000015, 0.000000048, 0.000000070, 0.000000094, 0, 0, 1, 1, 26.000000000
1755487233.837733030, 0.000000002, 0.000000005, 0.000000013, 0.000000063, 0.000000113, 0.000000150, 0.000000002, 0.000000004, 0.000000008, 0.000000047, 0.000000097, 0.000000114, 1, 1, 0, 0, 23.000000000
1755487233.856884003, 0.000000010, 0.000000047, 0.000000054, 0.000000053, 0.000000111, 0.000000129, 0.000000009, 0.000000012, 0.000000016, 0.000000048, 0.000000083, 0.000000101, 0, 0, 1, 1, 27.000000000
1755487233.937366009, 0.000000003, 0.000000005, 0.000000011, 0.000000065, 0.000000119, 0.000000159, 0.000000001, 0.000000003, 0.000000004, 0.000000045, 0.000000061, 0.000000093, 1, 1, 0, 0, 29.000000000
1755487233.956971884, 0.000000009, 0.000000037, 0.000000040, 0.000000052, 0.000000070, 0.000000105, 0.000000005, 0.000000009, 0.000000017, 0.000000046, 0.000000058, 0.000000077, 0, 0, 1, 1, 31.000000000
1755487234.037732601, 0.000000003, 0.000000005, 0.000000010, 0.000000065, 0.000000092, 0.000000130, 0.000000003, 0.000000004, 0.000000008, 0.000000050, 0.000000084, 0.000000104, 1, 1, 0, 0, 28.000000000
1755487234.057633162, 0.000000008, 0.000000043, 0.000000048, 0.000000057, 0.000000096, 0.000000118, 0.000000007, 0.000000014, 0.000000016, 0.000000050, 0.000000070, 0.000000094, 0, 0, 1, 1, 34.000000000
1755487234.137819767, 0.000000003, 0.000000005, 0.000000010, 0.000000068, 0.000000106, 0.000000154, 0.000000001, 0.000000003, 0.000000005, 0.000000050, 0.000000084, 0.000000095, 1, 1, 0, 0, 31.000000000
1755487234.157829762, 0.000000007, 0.000000034, 0.000000037, 0.000000056, 0.000000095, 0.000000106, 0.000000007, 0.000000011, 0.000000019, 0.000000050, 0.000000075, 0.000000084, 0, 0, 1, 1, 30.000000000
1755487234.238272190, 0.000000003, 0.000000005, 0.000000010, 0.000000068, 0.000000110, 0.000000139, 0.000000003, 0.000000004, 0.000000007, 0.000000053, 0.000000071, 0.000000097, 1, 1, 0, 0, 28.000000000
1755487234.257072687, 0.000000008, 0.000000042, 0.000000046, 0.000000059, 0.000000081, 0.000000108, 0.000000007, 0.000000011, 0.000000014, 0.000000053, 0.000000071, 0.000000081, 0, 0, 1, 1, 35.000000000
1755487234.337022781, 0.000000003, 0.000000005, 0.000000010, 0.000000070, 0.000000112, 0.000000126, 0.000000003, 0.000000004, 0.000000007, 0.000000056, 0.000000073, 0.000000104, 1, 1, 0, 0, 27.000000000
1755487234.356084824, 0.000000008, 0.000000034, 0.000000037, 0.000000062, 0.000000083, 0.000000115, 0.000000008, 0.000000008, 0.000000016, 0.000000056, 0.000000074, 0.000000086, 0, 0, 1, 1, 28.000000000
1755487234.436883450, 0.000000003, 0.000000005, 0.000000010, 0.000000072, 0.000000114, 0.000000136, 0.000000001, 0.000000003, 0.000000005, 0.000000058, 0.000000086, 0.000000089, 1, 1, 0, 0, 38.000000000
1755487234.456721067, 0.000000009, 0.000000041, 0.000000044, 0.000000065, 0.000000096, 0.000000102, 0.000000008, 0.000000014, 0.000000018, 0.000000059, 0.000000080, 0.000000094, 0, 0, 1, 1, 30.000000000
1755487234.538052559, 0.000000003, 0.000000005, 0.000000010, 0.000000074, 0.000000108, 0.000000164, 0.000000002, 0.000000003, 0.000000006, 0.000000059, 0.000000099, 0.000000115, 1, 1, 0, 0, 34.000000000
1755487234.558256388, 0.000000007, 0.000000036, 0.000000038, 0.000000065, 0.000000110, 0.000000130, 0.000000007, 0.000000013, 0.000000018, 0.000000058, 0.000000081, 0.000000119, 0, 0, 1, 1, 29.000000000
1755487234.637425900, 0.000000003, 0.000000005, 0.000000011, 0.000000075, 0.000000108, 0.000000194, 0.000000003, 0.000000003, 0.000000006, 0.000000064, 0.000000101, 0.000000146, 1, 1, 0, 0, 30.000000000
1755487234.657217264, 0.000000008, 0.000000044, 0.000000047, 0.000000070, 0.000000113, 0.000000163, 0.000000008, 0.000000013, 0.000000023, 0.000000064, 0.000000071, 0.000000148, 0, 0, 1, 1, 24.000000000
1755487234.738109827, 0.000000003, 0.000000005, 0.000000011, 0.000000077, 0.000000098, 0.000000229, 0.000000003, 0.000000004, 0.000000008, 0.000000065, 0.000000087, 0.000000171, 1, 1, 0, 0, 31.000000000
1755487234.757678509, 0.000000008, 0.000000035, 0.000000039, 0.000000071, 0.000000098, 0.000000187, 0.000000007, 0.000000008, 0.000000021, 0.000000052, 0.000000064, 0.000000169, 0, 0, 1, 1, 26.000000000
1755487234.837769032, 0.000000003, 0.000000005, 0.000000013, 0.000000075, 0.000000083, 0.000000248, 0.000000003, 0.000000003, 0.000000006, 0.000000062, 0.000000072, 0.000000186, 1, 1, 0, 0, 33.000000000
1755487234.857646942, 0.000000008, 0.000000045, 0.000000049, 0.000000069, 0.000000083, 0.000000203, 0.000000007, 0.000000011, 0.000000022, 0.000000053, 0.000000060, 0.000000174, 0, 0, 1, 1, 27.000000000
1755487234.936835527, 0.000000003, 0.000000005, 0.000000014, 0.000000072, 0.000000087, 0.000000247, 0.000000003, 0.000000005, 0.000000010, 0.000000063, 0.000000079, 0.000000194, 1, 1, 0, 0, 29.000000000
1755487234.957302809, 0.000000008, 0.000000038, 0.000000042, 0.000000070, 0.000000091, 0.000000210, 0.000000007, 0.000000014, 0.000000021, 0.000000058, 0.000000066, 0.000000178, 0, 0, 1, 1, 28.000000000
1755487235.038899899, 0.000000003, 0.000000006, 0.000000014, 0.000000074, 0.000000096, 0.000000253, 0.000000003, 0.000000004, 0.000000008, 0.000000064, 0.000000074, 0.000000177, 1, 1, 0, 0, 33.000000000
1755487235.058529139, 0.000000008, 0.000000044, 0.000000048, 0.000000071, 0.000000084, 0.000000191, 0.000000006, 0.000000013, 0.000000020, 0.000000053, 0.000000062, 0.000000163, 0, 0, 1, 1, 28.000000000
1755487235.139331579, 0.000000003, 0.000000005, 0.000000014, 0.000000072, 0.000000091, 0.000000239, 0.000000003, 0.000000005, 0.000000010, 0.000000062, 0.000000082, 0.000000188, 1, 1, 0, 0, 31.000000000
1755487235.157519102, 0.000000008, 0.000000035, 0.000000037, 0.000000067, 0.000000093, 0.000000203, 0.000000007, 0.000000010, 0.000000018, 0.000000052, 0.000000058, 0.000000160, 0, 0, 1, 1, 35.000000000
1755487235.238425970, 0.000000003, 0.000000006, 0.000000013, 0.000000069, 0.000000087, 0.000000240, 0.000000003, 0.000000004, 0.000000007, 0.000000057, 0.000000071, 0.000000116, 1, 1, 0, 0, 42.000000000
1755487235.258118629, 0.000000007, 0.000000022, 0.000000023, 0.000000057, 0.000000074, 0.000000121, 0.000000006, 0.000000006, 0.000000014, 0.000000046, 0.000000050, 0.000000108, 0, 0, 1, 1, 33.000000000
1755487235.337952614, 0.000000003, 0.000000005, 0.000000011, 0.000000064, 0.000000077, 0.000000173, 0.000000003, 0.000000004, 0.000000005, 0.000000053, 0.000000060, 0.000000090, 1, 1, 0, 0, 43.000000000
1755487235.357281923, 0.000000008, 0.000000028, 0.000000035, 0.000000060, 0.000000068, 0.000000101, 0.000000007, 0.000000011, 0.000000021, 0.000000049, 0.000000054, 0.000000095, 0, 0, 1, 1, 28.000000000
1755487235.437979221, 0.000000003, 0.000000005, 0.000000009, 0.000000065, 0.000000080, 0.000000160, 0.000000003, 0.000000004, 0.000000005, 0.000000056, 0.000000062, 0.000000090, 1, 1, 0, 0, 41.000000000
1755487235.457678080, 0.000000008, 0.000000033, 0.000000044, 0.000000063, 0.000000070, 0.000000103, 0.000000008, 0.000000016, 0.000000024, 0.000000055, 0.000000058, 0.000000095, 0, 0, 1, 1, 29.000000000
